efas,name,basin,river,provider,iso,DrainageArea_prov,DrainageArea_LDD,lat,long,LISFLOOD_X,LISFLOOD_Y,GlofasID,note,oldnotes,SourceGlo,GlofasV5
11982,UHE MANSO RIO CASCA,RIOS PARAGUAI.SÃO LOURENÇO E .,DA CASCA,1104,BR,1210,0,-15.1411,-55.4981,-55.475,-15.125, ,end of catchment, ,NULL,no
11983,USINA MARAMBAIA,RIO GRANDE,SÃO JOÃO,1104,BR,1220,0,-20.7936,-46.7125,0,0, , , ,NULL,no
11984,FUNDÃO,RIOS PARANÁ.PARANAPANEMA E ...,IAPÓ,1104,BR,1220,0,-24.766667,-50.066667,0,0, , , ,NULL,no
11986,PASSO LINHA DO RIO,RIO JACUÍ,Pardo,1104,BR,1220,0,-29.6006,-52.7961,-52.775,-29.575, ,12054 long ts, ,NULL,no
11987,UHE CORUMBÁ IV MINERADORA FRONTEIRA,RIO PARANAÍBA,AREIAS,1104,BR,1226,0,-16.0714,-48.3686,-48.375,-16.025, , , ,NULL,no
11988,FAZENDA TIMBURANA,RIOS ACARAÚ.PIRANGI E OUTROS,JAIBARAS,1104,BR,1230,0,-3.766667,-40.45,0,0, , , ,NULL,no
11991,AZEVEDO SODRÉ,RIOS URUGUAI.IBICUÍ E OUTROS,CACEQUI,1104,BR,1230,0,-30.1069,-54.6356,-54.625,-30.125, ,11985 has long ts, ,NULL,no
11992,SÍTIO CONCEIÇÃO,RIOS PARAÍBA.POTENJI E OUTROS,MONTEIRO,1104,BR,1240,0,-7.7872,-36.7342,-36.725,-7.775, , , ,NULL,no
11995,UHE PASSO FUNDO MONTANTE,RIOS URUGUAI.CHAPECÓ E OUTROS,PASSO FUNDO,1104,BR,1240,0,-27.9453,-52.5811,-52.575,-27.875, ,12292 has long ts, ,NULL,no
11996,BRUSQUE (PCD),RIO ITAJAÍ-AÇU,ITAJAÍ-MIRIM,1104,BR,1240,0,-27.1006,-48.9167,-48.925,-27.075, ,11737 has long ts, ,NULL,no
11997,ARAÚJOS,RIOS SÃO FRANCISCO.PARAOPEBA E,LAMBARI,1104,BR,1250,0,-19.933333,-45.133333,0,0, , , ,NULL,no
11998,PRÓXIMO COSTA RICA,RIOS PARANÁ.PARDO E OUTROS,SUCURIÚ,1104,BR,1250,0,-18.549722,-53.1325,-53.125,-18.525, ,end of catch, ,NULL,no
11999,UHE GUAPORÉ BARRAMENTO,RIO AMAZONAS.MADEIRA.GUAPORÉ....,Guaporé,1104,BR,1260,0,-15.1236,-58.9622,-58.975,-15.125, ,12556 has long ts, ,NULL,no
12000,SÍTIO LAPINHA,RIO JAGUARIBE,SALGADO,1104,BR,1260,0,-7.2222,-39.1439,-39.175,-7.225, ,small, ,NULL,no
12002,CANINDÉ,RIO GRANDE,DO CARMO,1104,BR,1260,0,-20.1667,-47.8833,0,0, , , ,NULL,no
12003,SÍTIO SÃO GABRIEL - SSB,RIO GRANDE,MOGI-GUAÇU,1104,BR,1260,0,-22.2667,-46.7,-46.625,-22.275, ,12313 has newer ts, ,NULL,no
12004,LINHA UNIÃO,RIOS URUGUAI.DA VÁRZEA E ....,COMANDAÍ,1104,BR,1260,0,-27.9308,-54.9392,-54.925,-27.925, , , ,NULL,no
12005,PEDRO BARROS,RIO RIBEIRA DO IGUAPE,St. Lawrence,1104,BR,1260,0,-24.2489,-47.3744,0,0, , , ,NULL,no
12006,UHE SOBRAGI MONTANTE 2,RIO PARAÍBA DO SUL,PARAÍBUNA,1104,BR,1261,0,-21.8769,-43.3269,-43.325,-21.875, ,11834 long ts, ,NULL,no
12007,POÇO COMPRIDO,RIOS ACARAÚ.PIRANGI E OUTROS,GROAIRAS,1104,BR,1270,0,-4.3667,-40.0186,-40.025,-4.375, ,12422 has long ts, ,NULL,no
12008,FAZENDA SÃO JOÃO,RIO PARAÍBA DO SUL,JAGUARI,1104,BR,1270,0,-23.2125,-46.069444,0,0, , , ,NULL,no
12009,PCH ALTA FLORESTA MONTANTE,RIO AMAZONAS.MADEIRA.GUAPORÉ....,Branco,1104,BR,1280,0,-11.9167,-62.0833,-62.075,-11.925, ,PCH is for small hydropowe, ,NULL,no
12011,CRISTAL,RIOS MUCURI.SÃO MATEUS E ....,ITAÚNAS,1104,BR,1280,0,-18.090833,-40.114167,-40.125,-18.075, ,12195 has long ts, ,NULL,no
12013,PONTE RIO DOCE,RIO PARANAÍBA,Doce,1104,BR,1280,0,-17.8608,-51.39,0,0, , , ,NULL,no
12014,ITAÚ DE MINAS,RIO GRANDE,SÃO JOÃO,1104,BR,1280,0,-20.738889,-46.734722,0,0, , , ,NULL,no
12015,BARCELONA,RIOS PARAÍBA.POTENJI E OUTROS,POTENGI,1104,BR,1290,0,-5.9525,-35.9261,-35.975,-5.975, ,12435 more data, ,NULL,no
12017,JACOBINA,RIOS VAZA BARRIS.ITAPICURU E .,ITAPICURU-MIRIM,1104,BR,1290,0,-11.2114,-40.4703,-40.475,-11.225, ,12383 has newer ts, ,NULL,no
12019,MENDANHA,RIO JEQUITINHONHA,Jequitinhonha,1104,BR,1290,0,-18.1106,-43.5258,0,0, , , ,NULL,no
12020,FAZENDA BARBOSA,RIO PARAÍBA DO SUL,JAGUARI,1104,BR,1290,0,-23.197222,-46.038889,0,0, , , ,NULL,no
12022,UHE BARRA DOS COQUEIROS RIO DOCE,RIO PARANAÍBA,Doce,1104,BR,1290,0,-17.8669,-51.3808,-51.375,-17.875, ,12022 has long ts, ,NULL,no
12023,SÍTIO PONTE PRETA,RIO GRANDE,MOGI-GUAÇU,1104,BR,1290,0,-22.2864,-46.7656,0,0, , , ,NULL,no
12024,PCH MONTE ALTO JUSANTE,RIO GRANDE,SÃO JOÃO,1104,BR,1297,0,-20.7706,-46.7197,-46.675,-20.825, ,PCH means small hydropower efas 12014 has long ts, ,NULL,no
12025,SANTO ANTÔNIO DAS PEDRINHAS,RIOS SÃO FRANCISCO.CARINHANHA,SANTO ANTÔNIO,1104,BR,1300,0,-13.166389,-44.668333,-44.725,-13.175, , , ,NULL,no
12026,BOM NOME,RIOS SÃO FRANCISCO.PAJEÚ E ...,RIACHO SÃO CRISTÓVÃO,1104,BR,1300,0,-8.0061,-38.6033,-38.625,-7.975, ,only a few NON zero values, ,NULL,no poor quality
12027,UHE JAGUARI BARRAMENTO,RIO PARAÍBA DO SUL,JAGUARI,1104,BR,1300,0,-23.1936,-46.0258,-46.025,-23.175, ,reservoir outlet IN glofas, ,NULL,no reservoir
12028,UHE JAGUARI JUSANTE,RIO PARAÍBA DO SUL,JAGUARI,1104,BR,1300,0,-23.1992,-46.0183,0,0, , , ,NULL,no
12030,USINA PINHAL,RIO GRANDE,MOGI-GUAÇU,1104,BR,1300,0,-22.2586,-46.7164,0,0, , , ,NULL,no
12031,ENGENHO MATO GROSSO,RIOS CAPIBARIBE.MUNDAÚ E .....,SIRINHAÉM,1104,BR,1310,0,-8.6375,-35.3056,-35.325,-8.625, ,remove data after 2022, ,NULL,no poor quality
12034,FAZENDA ITAPEVA,RIOS PARANÁ.TIETÊ E OUTROS,CAPIVARI,1104,BR,1310,0,-23.0175,-47.576944,-47.575,-23.025, ,11620 has long and newer data, ,NULL,no
12036,JAUQUARA,RIOS PARAGUAI.SÃO LOURENÇO E .,JAUQUARA,1104,BR,1310,0,-15.1669,-57.0839,-57.025,-15.225, ,end of catchment, ,NULL,no
12037,BARRA DO CAPINZAL,RIO RIBEIRA DO IGUAPE,JACUPIRANGA,1104,BR,1317,0,-24.6003,-47.8917,0,0, , , ,NULL,no
