ID,name,basin,river,provider,iso,DrainageArea_prov,DrainageArea_LDD,lat,long,LISFLOOD_X,LISFLOOD_Y,SourceGlo,GlofasV5,Obs_start,Obs_end,Split_date_CALstart,KGEmod,JSD,Function,Region,Basin,glacier_frac
141,Kettujoki,Paatsjoki,Kettujoki,1011,FI,2215.0,2264.18,68.919106,26.74754,26.775,68.925,efas,calibrated,01/01/1980 00:00',31/12/2012 00:00',15/11/1992 00:00',0.889811,0.0422831,KGEJSD,Europe,KemjokiPaatsjokiTorneBIS,0.0
142,Juutuanjoki,Paatsjoki,Juutuanjoki,1011,FI,5160.0,5168.96,68.889188,26.925191,26.975,68.925,NRT,calibrated,08/09/2008 00:00',01/01/2024 00:00',08/09/2008 00:00',0.890256,0.0281843,KGEJSD,Europe,KemjokiPaatsjokiTorneBIS,0.0
143,Ivalojoki. Pajakoski,Paatsjoki,Ivalo,1011,FI,3345.0,3455.16,68.554588,27.274471,27.275,68.575,NRT,calibrated,01/11/2008 00:00',01/01/2024 00:00',01/11/2008 00:00',0.838461,0.0385891,KGEJSD,Europe,KemjokiPaatsjokiTorneBIS,0.0
144,Kaitakoski,Paatsjoki,Paatsjoki,1011,FI,14575.0,14645.26,68.908733,28.448919,28.475,68.925,efas,calibrated,01/01/1980 00:00',31/12/2012 00:00',15/11/1992 00:00',0.61542,0.0969678,KGEJSD,Europe,KemjokiPaatsjokiTorneBIS,0.0
145,Kallio 2,Torne,Muonio,1014,SE,14477.1,14370.88,67.224893,23.543048,23.575,67.225,NRT,calibrated,02/01/2011 00:00',01/01/2024 00:00',02/01/2011 00:00',0.768645,0.0997368,KGEJSD,Europe,KemjokiPaatsjokiTorneBIS,0.0
148,Granåker,Ume,Vindel,1014,SE,11846.37,11793.33,64.239979,19.666241,19.725,64.225,NRT,calibrated,02/01/2011 00:00',01/01/2024 00:00',02/01/2011 00:00',0.852757,0.0347978,KGEJSD,Europe,SwedenNorway,0.0
149,Sorsele2,Ume,Vindel,1014,SE,6054.39,6052.83,65.542207,17.508312,17.475,65.525,NRT,calibrated,02/01/2011 00:00',01/01/2024 00:00',02/01/2011 00:00',0.830067,0.0155956,KGEJSD,Europe,SwedenNorway,0.0
151,Guben 2,Oder,Lusatian Neisse,1015,DE,4080.0,4127.1,51.969154,14.706919,14.725,51.975,HIST,calibrated,31/07/2012 00:00',01/01/2024 00:00',31/07/2012 00:00',0.796936,0.0225919,KGEJSD,Europe,ElbeOderEmsWeser,0.0
153,Lobith,Rhine,Rhine,1008,NL,160800.0,159556.62,51.844444,6.108333,6.075,51.875,NRT,calibrated,25/10/2008 00:00',01/01/2024 00:00',25/10/2008 00:00',0.930619,0.0218894,KGEJSD,Europe,RhineMaasScheldtSeine,0.019185168077258875
155,Fischerau / Ager,Danube,Ager,1013,AT,1256.1,1204.05,48.085815,13.838047,13.825,48.075,NRT,calibrated,07/04/2011 00:00',01/01/2024 00:00',07/04/2011 00:00',0.60712,0.157867,KGE,Europe,Danube,0.0
156,Achleiten / Donau,Danube,Danube,1013,AT,76653.3,76461.18,48.582691,13.503336,13.525,48.575,NRT,calibrated,16/05/2009 00:00',01/01/2024 00:00',16/05/2009 00:00',0.912329,0.0180372,KGEJSD,Europe,Danube,0.04427669720636784
158,Kienstock,Danube,Danube,1013,AT,95970.0,95824.46,48.382792,15.46122,15.525,48.375,NRT,calibrated,31/10/2008 00:00',01/01/2024 00:00',31/10/2008 00:00',0.891418,0.0171419,KGEJSD,Europe,Danube,0.03576698319195289
159,Korneuburg,Danube,Danube,1013,AT,101536.6,101383.68,48.329485,16.332121,16.325,48.325,NRT,calibrated,31/10/2008 00:00',01/01/2024 00:00',31/10/2008 00:00',0.905308,0.0163259,KGEJSD,Europe,Danube,0.033805746983731906
160,Linz,Danube,Danube,1013,AT,79490.1,79422.03,48.30692,14.284912,14.325,48.275,efas,calibrated,01/01/1990 00:00',01/01/2000 00:00',01/01/1990 00:00',0.858535,0.0356366,KGEJSD,Europe,Danube,0.04262606252598896
161,Wildungsmauer,Danube,Danube,1013,AT,103992.7,103330.24,48.114803,16.804302,16.875,48.125,NRT,calibrated,31/10/2008 00:00',01/01/2024 00:00',31/10/2008 00:00',0.906694,0.0190923,KGEJSD,Europe,Danube,0.03316890706985645
164,Lavamünd Ort,Danube,Drava,1013,AT,11051.8,11056.11,46.64062,14.942619,14.825,46.625,NRT,calibrated,19/11/2008 00:00',01/01/2024 00:00',19/11/2008 00:00',0.764351,0.0179622,KGEJSD,Europe,Danube,0.09749091996024674
165,Lienz-Peggetz,Danube,Drava,1013,AT,1876.2,1884.39,46.824539,12.784082,12.775,46.825,NRT,calibrated,31/10/2008 00:00',01/01/2024 00:00',31/10/2008 00:00',0.900549,0.0121128,KGEJSD,Europe,Danube,0.2802950352178429
168,Admont (Enns),Danube,Enns,1013,AT,2637.5,2642.15,47.581187,14.461733,14.425,47.575,HIST,calibrated,02/01/1985 00:00',01/01/2013 00:00',17/04/1989 00:00',0.849403,0.0202049,KGEJSD,Europe,Danube,0.015859561037201892
169,Steyr (Ortskai),Danube,Enns,1013,AT,5915.4,6123.52,48.043318,14.424931,14.425,48.025,NRT,calibrated,27/11/2009 00:00',01/01/2024 00:00',27/11/2009 00:00',0.771305,0.0477224,KGEJSD,Europe,Danube,0.00684303092334212
173,Federaun,Danube,Gail,1013,AT,1304.9,1405.21,46.569332,13.814816,13.775,46.575,NRT,calibrated,31/10/2008 00:00',01/01/2024 00:00',31/10/2008 00:00',0.333775,0.0707561,KGEJSD,Europe,Danube,0.030293017321263556
175,Gumisch,Danube,Gurk,1013,AT,2555.4,2269.09,46.606288,14.478061,14.475,46.625,NRT,calibrated,31/10/2008 00:00',01/01/2024 00:00',31/10/2008 00:00',0.851625,0.052292,KGEJSD,Europe,Danube,0.0
176,Launsdorf,Danube,Gurk,1013,AT,1243.1,1376.11,46.760439,14.476932,14.525,46.725,NRT,calibrated,31/10/2008 00:00',01/01/2024 00:00',31/10/2008 00:00',0.786894,0.0508341,KGEJSD,Europe,Danube,0.0
180,Jenbach-Rotholz,Danube,Inn,1013,AT,7230.7,7210.88,47.388857,11.789238,11.775,47.375,NRT,calibrated,31/10/2008 00:00',01/01/2024 00:00',31/10/2008 00:00',0.928211,0.0258326,KGEJSD,Europe,Danube,0.31164676487359033
183,Magerbach,Danube,Inn,1013,AT,5118.8,5062.43,47.258747,10.874705,10.875,47.275,NRT,calibrated,31/10/2008 00:00',01/01/2024 00:00',31/10/2008 00:00',0.911818,0.0404922,KGEJSD,Europe,Danube,0.3938432681998296
187,Lienz,Danube,Isel,1013,AT,1198.7,1183.98,46.831632,12.766335,12.725,46.825,NRT,calibrated,31/10/2008 00:00',01/01/2024 00:00',31/10/2008 00:00',0.845697,0.0223986,KGEJSD,Europe,Danube,0.42813305871135304
188,Stiefern,Danube,Kamp,1013,AT,1493.3,1456.49,48.534688,15.690083,15.675,48.575,NRT,calibrated,31/10/2008 00:00',01/01/2024 00:00',31/10/2008 00:00',0.292959,0.296552,KGE,Europe,Danube,0.0
189,Lechaschau,Danube,Lech,1013,AT,1012.2,1093.09,47.497015,10.709677,10.675,47.475,HIST,calibrated,01/01/1980 00:00',01/01/2013 00:00',08/12/1990 00:00',0.837989,0.0339417,KGEJSD,Europe,Danube,0.05779002910982304
190,Deutsch Brodersdorf (Straßenbrücke),Danube,Leitha,1013,AT,,2104.83,47.937903,16.477205,16.475,47.925,efas,calibrated,01/01/1990 00:00',30/03/2010 00:00',01/01/1990 00:00',0.77487,0.0350276,KGEJSD,Europe,Danube,0.0
192,Spittal (Fasan),Danube,Lieser,1013,AT,1035.5,1037.2,46.807338,13.494837,13.475,46.825,NRT,calibrated,31/10/2008 00:00',01/01/2024 00:00',31/10/2008 00:00',0.800662,0.00982365,KGEJSD,Europe,Danube,0.12222318893062319
195,Kolbnitz a. d. Tauernbahn VHP,Danube,Moll,1013,AT,1043.8,1057.74,46.875108,13.302641,13.275,46.875,NRT,calibrated,31/10/2008 00:00',01/01/2024 00:00',31/10/2008 00:00',0.80849,0.0805185,KGEJSD,Europe,Danube,0.31956142406899785
200,Mellach,Danube,Mur,1013,AT,7295.5,7233.47,46.902063,15.492877,15.475,46.925,NRT,calibrated,10/02/2010 00:00',01/01/2024 00:00',10/02/2010 00:00',0.82628,0.0281137,KGEJSD,Europe,Danube,0.0029181979026087572
202,St.Georgen ob Judenburt,Danube,Mur,1013,AT,2367.5,2361.65,47.211775,14.499123,14.425,47.175,efas,calibrated,10/02/2010 00:00',01/01/2024 00:00',10/02/2010 00:00',0.787109,0.0433337,KGEJSD,Europe,Danube,0.00893812609469465
207,Siezenheim,Danube,Saalach,1013,AT,1139.1,1130.32,47.811555,12.974216,12.925,47.775,NRT,calibrated,31/10/2008 00:00',01/01/2024 00:00',31/10/2008 00:00',0.771299,0.0125811,KGEJSD,Europe,Danube,0.0
212,Werfen,Danube,Saalach,1013,AT,2953.2,2924.84,47.479884,13.191103,13.175,47.475,NRT,calibrated,31/10/2008 00:00',01/01/2024 00:00',31/10/2008 00:00',0.810999,0.0501502,KGEJSD,Europe,Danube,0.19455886682670864
213,Leibnitz,Danube,Sulm,1013,AT,1102.5,1103.43,46.771039,15.534549,15.525,46.775,NRT,calibrated,11/02/2010 00:00',01/01/2024 00:00',11/02/2010 00:00',0.141807,0.0923608,KGEJSD,Europe,Danube,0.0
214,Raabs an der Thaya,Danube,Thaya,1013,AT,1405.8,1548.18,48.844976,15.499183,15.525,48.825,NRT,calibrated,31/10/2008 00:00',01/01/2024 00:00',31/10/2008 00:00',0.629368,0.0593665,KGEJSD,Europe,Danube,0.0
